checkpoint,data,success_rate,reformat_type,num_options
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-6,./data_reformat/manual/retain95_manual.json,0.7380889707817847,mcqa,2
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-12,./data_reformat/manual/forget05_manual.json,0.73,mcqa,2
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-12,./data_reformat/manual/retain95_manual.json,0.7272966570150039,mcqa,2
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-18,./data_reformat/manual/forget05_manual.json,0.76,mcqa,2
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-18,./data_reformat/manual/retain95_manual.json,0.715188207423006,mcqa,2
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-24,./data_reformat/manual/forget05_manual.json,0.775,mcqa,2
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-24,./data_reformat/manual/retain95_manual.json,0.7130823901026586,mcqa,2
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-30,./data_reformat/manual/forget05_manual.json,0.75,mcqa,2
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-30,./data_reformat/manual/retain95_manual.json,0.711503027112398,mcqa,2
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625,./data_reformat/manual/forget05_manual.json,0.71,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625,./data_reformat/manual/retain95_manual.json,0.6957093972097921,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-6,./data_reformat/manual/forget05_manual.json,0.71,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-6,./data_reformat/manual/retain95_manual.json,0.6962358515398789,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-12,./data_reformat/manual/forget05_manual.json,0.725,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-12,./data_reformat/manual/retain95_manual.json,0.6843906291129245,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-18,./data_reformat/manual/forget05_manual.json,0.695,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-18,./data_reformat/manual/retain95_manual.json,0.6704395893656225,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-24,./data_reformat/manual/forget05_manual.json,0.65,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-24,./data_reformat/manual/retain95_manual.json,0.658594366938668,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-30,./data_reformat/manual/forget05_manual.json,0.655,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-30,./data_reformat/manual/retain95_manual.json,0.6375361937351934,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_diff_1e-05_forget05_5/checkpoint-6,./data_reformat/manual/forget05_manual.json,0.695,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_diff_1e-05_forget05_5/checkpoint-6,./data_reformat/manual/retain95_manual.json,0.697551987365096,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_diff_1e-05_forget05_5/checkpoint-12,./data_reformat/manual/forget05_manual.json,0.695,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_diff_1e-05_forget05_5/checkpoint-12,./data_reformat/manual/retain95_manual.json,0.6912345354040537,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_diff_1e-05_forget05_5/checkpoint-18,./data_reformat/manual/forget05_manual.json,0.67,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_diff_1e-05_forget05_5/checkpoint-18,./data_reformat/manual/retain95_manual.json,0.6791260858120558,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_diff_1e-05_forget05_5/checkpoint-24,./data_reformat/manual/forget05_manual.json,0.66,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_diff_1e-05_forget05_5/checkpoint-24,./data_reformat/manual/retain95_manual.json,0.670702816530666,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_diff_1e-05_forget05_5/checkpoint-30,./data_reformat/manual/forget05_manual.json,0.67,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_diff_1e-05_forget05_5/checkpoint-30,./data_reformat/manual/retain95_manual.json,0.670702816530666,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-6,./data_reformat/manual/forget05_manual.json,0.695,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-6,./data_reformat/manual/retain95_manual.json,0.6962358515398789,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-12,./data_reformat/manual/forget05_manual.json,0.74,mcqa,3
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-12,./data_reformat/manual/retain95_manual.json,0.6862332192682284,mcqa,3
